6,41761,2
1,42061,2
4,41220,2
3,48120,2
2,47941,4
5,41341,4
5,41341,4
1,43261,4
1,38041,4
6,43983,4
1,39841,4
1,42180,4
5,42660,4
3,38640,4
1,82560,4
1,39960,4
4,43440,4
1,42240,4
5,38880,4
1,39120,4
1,40320,4
1,39900,4
4,44640,5
5,49500,5
7,45840,5
6,40800,5
2,47941,18
5,41221,18
5,41341,18
1,43261,18
1,40681,18
6,43983,18
1,39841,18
4,40860,18
1,42180,18
5,42660,18
7,39480,18
1,82560,18
4,39420,18
1,39960,18
1,42240,18
5,38880,18
1,43500,18
1,39120,18
1,40320,18
1,39900,18
2,47941,19
5,41221,19
5,39001,19
1,38041,19
1,39841,19
1,40560,19
7,39480,19
3,38640,19
4,39420,19
4,43440,19
1,42240,19
1,43500,19
1,39120,19
1,38280,19
1,43261,25
1,38041,25
1,40560,25
7,39480,25
4,39420,25
1,39960,25
1,42240,25
1,43500,25
1,39120,25
1,39120,25
1,38280,25
6,37980,25
6,37980,26
6,37980,27
4,40860,30
5,41221,34
5,39001,34
1,38041,34
1,40681,34
1,39841,34
1,42180,34
5,42660,34
5,42660,34
7,39480,34
7,39480,34
1,41940,34
1,39960,34
1,39960,34
1,39120,34
1,38280,34
1,38280,34
1,39900,34
2,47941,35
2,47941,35
2,47941,35
5,41221,35
5,39001,35
1,38041,35
1,39841,35
1,42180,35
5,42660,35
7,39480,35
1,82560,35
4,39420,35
1,39960,35
5,38880,35
1,39120,35
1,38280,35
1,39900,35
1,38041,37
1,42240,37
2,47941,38
1,38041,40
1,42240,40
1,39900,40
1,43261,41
1,39841,41
7,39480,41
1,39900,41
4,39660,43
5,41221,44
5,39001,44
1,38041,44
1,40560,44
7,39480,44
1,82560,44
6,43680,44
1,38280,44
4,41220,46
7,39480,47
2,47941,48
5,41221,48
5,41341,48
1,43261,48
1,38041,48
1,40681,48
1,39841,48
1,39841,48
1,42180,48
5,42660,48
3,38640,48
1,82560,48
4,39420,48
1,42240,48
1,43500,48
1,39120,48
1,40320,48
6,37980,48
2,47941,50
5,41341,50
1,43261,50
1,40681,50
5,42660,50
4,39420,50
1,43500,50
1,39120,50
2,47941,51
5,41341,51
1,43261,51
1,40681,51
5,42660,51
1,41940,51
1,39960,51
5,38880,51
1,43500,51
1,39900,51
5,41221,52
5,41341,52
1,40681,52
1,42180,52
1,82560,52
4,55620,52
1,43500,52
1,39120,52
1,39900,52
1,40681,53
1,41940,53
1,40320,53
6,37980,53
1,41940,54
4,39420,54
2,47941,57
1,43261,57
7,39480,57
1,39120,57
5,41341,60
4,39420,60
2,47941,61
1,38041,61
1,40560,61
5,38880,61
1,38280,61
2,47941,63
5,41341,63
1,42180,63
1,41940,63
1,39960,63
1,40320,63
2,47941,64
5,41221,64
5,41341,64
1,38041,64
6,43983,64
1,39841,64
4,40860,64
1,42180,64
5,48000,64
1,82560,64
4,39420,64
1,39960,64
4,43440,64
1,42240,64
5,38880,64
7,40140,64
1,43500,64
1,39120,64
1,40320,64
1,39900,64
5,41221,65
1,39841,65
1,41940,65
4,39420,65
1,42240,65
1,39120,65
5,41221,68
5,41341,68
1,38041,68
1,40681,68
5,48000,68
4,39420,68
1,42240,68
7,40140,68
1,39120,68
1,39900,68
5,41221,69
1,39841,69
5,41221,70
7,39480,70
1,42240,70
1,40681,72
5,38880,72
5,39001,73
1,43261,73
1,38041,73
4,40860,73
1,40560,73
5,42660,73
3,38640,73
4,39420,73
4,43440,73
1,42240,73
5,38880,73
1,43500,73
1,39120,73
1,40320,73
1,39900,73
5,39001,74
5,48000,74
5,39001,75
1,39841,75
3,38640,75
1,39900,75
5,39001,77
7,39480,77
5,39001,78
1,43261,78
5,41341,80
4,40860,80
4,39420,80
1,42240,80
1,39120,80
1,40320,80
1,43261,81
1,43261,83
5,48000,83
7,40140,83
1,38041,84
4,40860,84
1,43500,84
1,40320,84
1,38041,85
1,42180,85
7,39480,85
1,39120,85
6,43983,86
1,38041,87
3,45360,89
1,40681,90
1,42180,90
5,48000,90
1,39841,92
1,41940,92
5,38880,92
6,37980,92
4,40860,93
1,42240,93
1,42180,95
5,48000,95
1,42180,96
5,48000,97
5,48000,98
5,48000,98
5,48000,99
7,39480,100
7,39480,101
1,43500,101
1,41940,105
1,41940,106
3,38640,108
1,39960,108
3,43200,110
1,82560,111
1,82560,112
4,40680,113
4,40740,114
1,42240,115
5,38880,116
5,38880,117
7,40140,118
6,43680,119
1,38280,119
1,41940,120
6,45000,120
5,9300,120
1,42240,121
4,35940,123
4,34080,123
7,35040,123
4,35880,124
4,34320,124
7,34500,124
4,34020,125
4,34080,125
7,36240,125
3,42960,126
3,49860,126
3,48240,126
2,39960,126
3,48720,127
7,48960,127
4,84600,127
6,82980,127
1,32520,130
7,49200,132
6,49620,132
5,47040,132
3,69420,132
4,52320,134
5,52440,136
2,49320,137
3,49620,137
2,49740,137
1,49920,137
1,46020,138
1,39120,139
1,43261,140
6,37980,141
6,37980,143
6,37980,144
